ProductID,ProductName,Category,SubCategory,UnitPrice,UnitsInStock,LaunchDate
P1077,Gym Gloves,Sports,Accessories,605.01,33,10/23/2024
P1078,Sports Cap,Sports,Accessories,93.92,51,9/9/2024
P1079,Arm Band,Sports,Accessories,33.4,78,12/5/2024
P1080,Headband Set,Sports,Accessories,269.68,10,5/12/2024
P1081,Prestige Pan,Home & Kitchen,Cookware,391.1,21,10/20/2024
P1082,Tefal Frying Pan,Home & Kitchen,Cookware,468.97,37,4/10/2024
P1083,Hawkins Cooker,Home & Kitchen,Cookware,135.42,46,5/12/2024
P1084,Staub Dutch Oven,Home & Kitchen,Cookware,1023.64,82,10/26/2024
P1085,Philips Air Fryer,Home & Kitchen,Cookware,1180.07,64,11/23/2024
P1086,LG Microwave,Home & Kitchen,Appliances,464.84,51,4/12/2024
P1087,Bosch Dishwasher,Home & Kitchen,Appliances,62.29,89,2/12/2024
P1088,IFB Washer,Home & Kitchen,Appliances,1228.82,91,11/9/2024
P1089,Philips Mixer,Home & Kitchen,Appliances,796.95,66,7/5/2024
P1090,Kent RO Purifier,Home & Kitchen,Appliances,1074.34,12,2/1/2024
P1091,Tupperware Set,Home & Kitchen,Storage Containers,996.69,42,5/10/2024
P1092,Borosil Glass Set,Home & Kitchen,Storage Containers,910.86,35,3/30/2024
P1093,IKEA Storage,Home & Kitchen,Storage Containers,403.34,94,5/22/2024
P1094,Lock&Lock Jars,Home & Kitchen,Storage Containers,727.89,88,12/11/2024
P1095,Milton Steel Tins,Home & Kitchen,Storage Containers,1415.75,25,2/25/2024
P1096,Victorinox Knife Set,Home & Kitchen,Kitchen Tools,173.37,95,5/31/2024
P1097,Peeler & Grater,Home & Kitchen,Kitchen Tools,1143.46,69,4/13/2024
P1098,Bamboo Board,Home & Kitchen,Kitchen Tools,1470.14,49,7/9/2024
P1099,Measuring Spoon Set,Home & Kitchen,Kitchen Tools,351.46,62,5/22/2024
P1100,Digital Thermometer,Home & Kitchen,Kitchen Tools,804.87,68,7/23/2024
